user_input,retrieved_contexts,response,reference,answer_relevancy,faithfulness,context_precision
How can defenders use ATT&CK to evaluate their detection coverage?,"['your organization’s requirements. From there, you can pass the ATT&CK-mapped adversary information to your defenders to inform their defenses, as we discussed above. LEVEL 3 If your CTI team is advanced, you can start to map more information to ATT&CK, and then use that information to prioritize how you defend. Taking the above process, you can map both', 'GETTING STARTED WITH ATT&CK: Threat Intelligence | Katie Nickels VIDEO INTRODUCING NAVIGATOR AND EXPLAINING HOW TO COMPARE LAYERS We can then aggregate the information to determine the techniques that are commonly used, which can help defenders know what to prioritize. This lets us prioritize techniques and share with defenders what they should focus on', 'ATT&CK matrix that visualizes your coverage is appealing but is more likely to leave you burnt out on ATT&CK than excited to use it. Instead, start small: select a single technique to focus on, determine your coverage for that technique, and then make the appropriate engineering enhancements to start detecting it. By starting this way, you can practice how', 'As you do this, you can check out the ATT&CK website for some ideas to get you started with Detection and Mitigation of techniques. Example: Let your defenders know about the specific Registry run key APT19 has used. However, they might change that and use a different run key. If you look at the Detection advice for the technique, you see a recommendation', 'enhancements to start detecting it. By starting this way, you can practice how you’d run a larger assessment. Tip: Not sure which technique to start with? Check out Chapter 1 for how you might use ATT&CK and threat intelligence to choose a starting point. Once you have a technique picked out, you’ll want to figure out what your coverage of that technique', 'network to test how defenses might fare against the emulated adversary. Since ATT&CK is a large knowledge base of real-world adversary behaviors, it doesn’t take much imagina tion to draw a connection between adversary or red team behaviors and ATT&CK. Let’s explore how security teams can use ATT&CK for adversary emulation to help improve their']","Defenders can use ATT&CK to evaluate their detection coverage by selecting a single technique to focus on, determining their coverage for that technique, and then making the necessary engineering enhancements to start detecting it. This approach allows defenders to practice and improve their detection capabilities incrementally rather than becoming overwhelmed by trying to cover everything at once [Source: getting-started-with-attack:32].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",,1.0,0.8099999999838
How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"['5 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY While neither cyber attacks nor the spread of mis/ disinformation represent new classes of activity, disruptive AI technologies, such as LLMs, will likely cause their further proliferation. AI with Agency A segment of the tech community is increasingly concerned about scenarios where sophisticated AI', 'ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community. With the creation of ATT&CK, MITRE is fulfilling its mission to solve problems for a safer world—by bringing communities together to develop more effective', '4 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY target system. While the overall software system has its own vulnerabilities, those vulnerabilities can now be mostly understood through traditional test and evaluation, validation and verification, and cybersecurity lenses. The introduction of an AI subsystem may introduce new, unknown, and unique', '8 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY 1. Regulated industries should develop a NIST AI RMF response plan; if they deem the NIST AI RMF insufficient, they should identify alternative AI assurance approaches. The NIST AI RMF shows how to systematically think about risk during the design, development, and deployment of an AI system. Though', '13 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Endnotes 1 The MITRE Corporation, “MITRE ATLAS,” The MITRE Corporation, April 2023. [Online] Available: https://atlas.mitre.org/. [Accessed 2023]. 2 The MITRE Corporation, Microsoft and MITRE Create Tool to Help Security Teams Prepare for Attacks on Machine Learning Systems, McLean, VA: The MITRE', '10 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY 8. Legal frameworks to deter intentional and harmful AI misuse should scale accountability with risk. Legal frameworks that may be developed as part of AI regulation to hold individuals accountable for causing harm with AI should focus on regulatory approaches commensurate with the scale of the risk.']","The AI security framework builds on existing cybersecurity models by recognizing that while traditional vulnerabilities can be addressed through established methods, the introduction of AI subsystems brings new and unique risks. Frameworks like the NIST AI RMF are recommended to systematically address these risks during the AI system lifecycle. Additionally, resources such as MITRE's ATT&CK knowledge base serve as foundational tools for developing threat models and methodologies, supporting the integration of AI-specific considerations into broader cybersecurity practices [Source: getting-started-with-attack:43] [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3] [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:7].","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",,1.0,0.49999999995
How might AI evaluations reveal new adversarial techniques relevant to ATT&CK?,"['as AI has the potential to increase productivity and shift the composition of labor markets, similar to the role of automation in the manufacturing industry. LLMs are front and center in this debate, as they demonstrate human-level performance in myriad white collar job tasks. However, a growing concern is that bad actors are augmenting their adversarial', 'network to test how defenses might fare against the emulated adversary. Since ATT&CK is a large knowledge base of real-world adversary behaviors, it doesn’t take much imagina tion to draw a connection between adversary or red team behaviors and ATT&CK. Let’s explore how security teams can use ATT&CK for adversary emulation to help improve their', 'relevant logs that you might not otherwise have access to. Graduating to the next level: Once you start implementing some of these changes and improving your coverage, the next step is to introduce adversary emulation, and in particular, atomic testing. Each time you prototype a new analytic, run a matching atomic test and see if you caught it. If you did,', 'GETTING STARTED WITH ATT&CK: Threat Intelligence | Katie Nickels VIDEO INTRODUCING NAVIGATOR AND EXPLAINING HOW TO COMPARE LAYERS We can then aggregate the information to determine the techniques that are commonly used, which can help defenders know what to prioritize. This lets us prioritize techniques and share with defenders what they should focus on', 'with the coverage it offers. If you can’t find any additional modules for your tools, you can also try to use them as alte rnative data sources. As an example, you might not be able to install Sysmon on each of your endpoints, but your existing software might be able to forward relevant logs that you might not otherwise have access to. Graduating to the', 'Level 3 for those with more advanced cybersecurity teams and resources Getting started with “assessments” might sound frightening at first—who enjoys being asses sed?—but ATT&CK assessments are a part of a larger process to provide useful data to security engineers and architects justifying threat-based security improvements: 1. Assess how your defenses']","AI evaluations can reveal new adversarial techniques by demonstrating how bad actors may augment their adversarial behaviors using AI, such as large language models (LLMs), to achieve human-level performance in various tasks. This can introduce novel attack methods or enhance existing ones, which are relevant for updating and expanding the ATT&CK knowledge base to reflect emerging threats and inform defensive priorities [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3].","AI evaluations can expose ways AI might aid or automate adversarial steps, which can then be mapped to ATT&CK techniques to understand how AI-enabled threats fit existing models.",,0.125,0.49999999998333333
Find a passage describing why focusing only on post-deployment incidents is insufficient for AI security.,"['challenging to implement on a global scale, and if only partially implemented, could give our adversaries a competitive advantage and adversely affect our security. Congressional hearings on this topic in May surfaced the challenges of developing actionable policy to address these concepts. A variety of factors concerning regulation have been considered in', 'China and the United States on AI can be meaningfully measured by comparing the progress of U.S. hyperscalers, service providers that offer massive, elastic computing resources, to that of Chinese hyperscalers. MITRE would discourage focusing regulations only on big tech, as open-source innovation in AI has enabled smaller companies to have greater access', 'discussed on page 3 will have unique regulatory considerations. This is further discussed in the next section. Proposed Elements of a Regulatory Framework for AI Security This paper’s focus is primarily on AI security, and hence we propose elements of a regulatory framework based on a vulnerability, threat, and risk calculus. Risks are realized when threat', '2 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Contents Background ......................................................................................................................................................3 AI Threats and Risks', 'harms and differentiates between intentional acts and “AI accidents,” a concept that will evolve as AI technologies advance. 9. AI regulation should provide appropriate levels of transparency into AI applications to an objective third party and/or the public for detection and mitigation of intentional A I misuse. As discussed on page 4, we view the emerging', '10 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY 8. Legal frameworks to deter intentional and harmful AI misuse should scale accountability with risk. Legal frameworks that may be developed as part of AI regulation to hold individuals accountable for causing harm with AI should focus on regulatory approaches commensurate with the scale of the risk.']",I don't know. The answer is not covered by the provided documents.,"The paper explains that waiting for incidents is inadequate because failures in high-risk AI systems could be catastrophic, so proactive evaluation is necessary before deployment.",,0.0,0.0
Locate a passage explaining how ATT&CK helps defenders identify gaps in their detection program.,"['GETTING STARTED WITH ATT&CK: Threat Intelligence | Katie Nickels VIDEO INTRODUCING NAVIGATOR AND EXPLAINING HOW TO COMPARE LAYERS We can then aggregate the information to determine the techniques that are commonly used, which can help defenders know what to prioritize. This lets us prioritize techniques and share with defenders what they should focus on', 'justifying threat-based security improvements: 1. Assess how your defenses currently stack up to techniques and adversaries in ATT&CK 2. Identify the highest-priority gaps in your current coverage 3. Modify your defenses—or acquire new ones—to address those gaps THE ASSESSMENT AND ENGINEERING PROCESS The levels for assessments and engineering are cumulative', '/ STARTUP FOLDER TECHNIQUE In summary, an easy way to start using ATT&CK for threat intelligence is to look at a single adversary group you care about. Identifying some behaviors they’ve used helps you inform your defenders about how they can try to detect that group. LEVEL 2 If you have a team of threat analysts who regularly review information about', 'GETTING STARTED WITH ATT&CK: Assessments and Engineering | Andy Applebaum LEVEL 3 For those with more advanced teams, a great way you can amp up your assessment is to include mitigations. This helps move your assessment away from just looking at tools and analytics and what they’re detecting to looking at your SOC as a whole. A good way to identify how', 'a collection of scripts that can be used to test how you might detect certain techniques and procedures mapped to ATT&CK techniques. For example, maybe you’ve followed the advice in Chapter 1 and looked at techniques used by APT3 such as Network Share Discovery (T1135). Your intel team passed this to your detection team and, following the guidance in', '© 2019 The MITRE Corporation. All rights reserved. 2 Detection and Analytics John Wunder Hopefully you had a chance to read in Chapter 1 on getting started using ATT&CK for threat intellig ence, which walked through understanding what adversaries are doing to attack you and how to use that knowledge to prioritize what to defend. In this chapter, I’ll talk']","ATT&CK helps defenders identify gaps in their detection program by allowing them to assess how their defenses currently stack up to techniques and adversaries in ATT&CK, identify the highest-priority gaps in their current coverage, and then modify or acquire new defenses to address those gaps [Source: getting-started-with-attack:31].","ATT&CK can reveal detection gaps by mapping detections to tactics and techniques, showing where coverage is missing across the adversary lifecycle.",,1.0,0.49999999995
List the high-level steps for using ATT&CK in a detection engineering process.,"['© 2019 The MITRE Corporation. All rights reserved. 4 Assessments and Engineering Andy Applebaum Over the previous chapters, we’ve covered getting started with ATT&CK by using it for threat intelligence, for detection and analytics, and for adversary emulation. In this fourth section, we’re going to talk about assessments and engineering, showing how you can', 'GETTING STARTED WITH ATT&CK: Assessments and Engineering | Andy Applebaum DETECTION TEXT FOR REMOTE DESKTOP PROTOCOL If your analytics are already picking up the technique, great! Record your coverage for that technique and then pick a new one to start the process again. If you’re not covering it, look at the data sources listed on the technique’s ATT&CK', 'GETTING STARTED WITH ATT&CK: Detection and Analytics | John Wunder CAR ENTRY FOR CREATE REMOTE PROCESS VIA WMIC You’ll want to read and understand the description to know what it’s looking for, but the important part to get it running is the pseudocode at the bottom. Translate that pseudocode into a search for whatever SIEM you’re using (making sure the', 'If you look at the Detection advice for the technique, you see a recommendation is to monitor the Registry for new run keys that you don’t expect to see in your environment. This would be a great conversation to have with your defenders. DETECTION IDEAS FOR THE REGISTRY RUN KEYS / STARTUP FOLDER TECHNIQUE In summary, an easy way to start using ATT&CK for', 'GETTING STARTED WITH ATT&CK: Assessments and Engineering | Andy Applebaum Answers to these questions can help you augment the heatmaps you made earlier. Example: If you previously found a tool that has a lot of ATT&CK-related capabilities, but personnel are only using it to monitor the Windows Registry, then you should modify that tool’s heatmap to better', 'a collection of scripts that can be used to test how you might detect certain techniques and procedures mapped to ATT&CK techniques. For example, maybe you’ve followed the advice in Chapter 1 and looked at techniques used by APT3 such as Network Share Discovery (T1135). Your intel team passed this to your detection team and, following the guidance in']","The high-level steps for using ATT&CK in a detection engineering process are: identify relevant ATT&CK techniques, review detection advice and data sources for those techniques, implement or translate detection logic (such as pseudocode) into your SIEM or analytics platform, test your detection using scripts or emulation, record your coverage, and repeat the process for additional techniques as needed [Source: getting-started-with-attack:14] [Source: getting-started-with-attack:22] [Source: getting-started-with-attack:33].","Steps include identifying relevant threats, mapping behaviors to tactics and techniques, assessing current detection coverage, identifying gaps, and implementing new detections.",,0.8333333333333334,0.16666666665
What components form a sensible regulatory framework for AI security?,"['2 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Contents Background ......................................................................................................................................................3 AI Threats and Risks', '7 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY • What is the most appropriate governance mechanism? Proposals have been offered, ranging from voluntary self-regulation to government-mandated policies and procedures. • What concrete regulatory instruments are appropriate for achieving which purposes? Regulatory actions have been discussed for safety', '6 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY accounting for what data is being used to train AI models; establishing common definitions for AI models, applications, and capabilities; strengthening the AI workforce; and licensing AI models. Some of these regulatory concepts have merit but others may limit competition and advancement, weaken', '9 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY 5. Industry regulators should conduct continuous regulatory analysis of individual use cases. Recommendations for regulatory action will change as aspects of the technology and use case change over time. One way to address this challenge is to conduct a regulatory analysis of the factors influencing', '10 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY 8. Legal frameworks to deter intentional and harmful AI misuse should scale accountability with risk. Legal frameworks that may be developed as part of AI regulation to hold individuals accountable for causing harm with AI should focus on regulatory approaches commensurate with the scale of the risk.', 'Regulatory Approaches .....................................................................................................................................5 Proposed Elements of a Regulatory Framework for AI Security..................................................................................7 Regulatory considerations for AI as a component or']","A sensible regulatory framework for AI security includes accounting for the data used to train AI models, establishing common definitions for AI models, applications, and capabilities, strengthening the AI workforce, licensing AI models, conducting continuous regulatory analysis of individual use cases, and developing legal frameworks that scale accountability with risk and deter intentional and harmful AI misuse [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:5][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:8][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:9].","The framework includes defining systems in scope, establishing evaluation requirements, setting standards for testing and red teaming, and creating oversight and reporting mechanisms.",,1.0,0.0
What is the ATT&CK technique level used for?,"['the Data Sources listed for each ATT&CK technique. Those data sources describe the types of data that could give you visibility into the given technique. In other words, they give you a good starting point for what to collect. DATA SOURCES FOR AN ATT&CK TECHNIQUE | 10 |', 'OF APT19 GROUP From there, you can bring up that group’s page to look at the techniques they’ve used (based solely on open source reporting we’ve mapped) so you can learn more about them. If you need more info on the technique because you’re not familiar with it, no problem—it’s right there on the ATT&CK website. You could repeat this for each of the', 'right there on the ATT&CK website. You could repeat this for each of the software samples that we’ve mapped the group using, which we track separately on the ATT&CK website. Example: One technique used by APT19 is Registry Run Keys/Startup Folder. | 3 |', 'Red Team repository has many atomic tests, each with a directory dedicated to the ATT&CK technique that is tested. You can view the full repository in the ATT&CK Matrix format. To start testing, select the T1135 page to see the details and different types of atomic tests that are documented. Each of these tests contains information about what the technique', 'the Command and Control tactic. 5. Figure out what technique applies to the behavior—This can be a little tricky, but wit h your analysis skills and the ATT&CK website examples, it’s doable. If you search our website for SOCKS, the technique Standard Non-Application Layer Protocol (T1095) pops up. Looking at the technique description, you’ll find this could', 'what you’d like the red team to do, fig ure out how to implement the behavior. Consider: \x8f How did the threat group use this technique? \x8f Did the group vary which technique was used based on the environment context? \x8f What tools can we use to replicate these TTPs? 5. Emulate the adversary—With a plan in place, the red team now has the ability to execu te']","The ATT&CK technique level is used to provide detailed information about specific adversary behaviors, including the types of data that could give you visibility into those behaviors, which helps guide what data to collect for detection and analysis purposes [Source: getting-started-with-attack:12].",The technique level describes the specific actions adversaries take to achieve a broader tactical objective.,,1.0,0.26666666665333333
Why does the AI security paper emphasize emergent behaviors?,"['the risk of either humans tasking AI to carry out dangerous actions or AI systems allowing themselves to have emergent behavior. AI alignment research is nascent, and can be accelerated with additional research funding, first focused on establishing a common vocabulary and framework to align the research community and to identify research needs. Such a', '13 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Endnotes 1 The MITRE Corporation, “MITRE ATLAS,” The MITRE Corporation, April 2023. [Online] Available: https://atlas.mitre.org/. [Accessed 2023]. 2 The MITRE Corporation, Microsoft and MITRE Create Tool to Help Security Teams Prepare for Attacks on Machine Learning Systems, McLean, VA: The MITRE', 'World’s First Digital Weapon,” Wired.com, 3 November 2014. [Online]. Available: https://www.wired.com/2014/11/countdown-to-zero-day-stuxnet/. [Accessed 2023]. 6 K. Wiggers, “What is Auto-GPT and Why Does it Matter?,” Tech Crunch, 22 April 2023. [Online]. Available: https://techcrunch.com/2023/04/22/what-is-auto-gpt-and-why-does-it-matter/. [Accessed 2023].', '5 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY While neither cyber attacks nor the spread of mis/ disinformation represent new classes of activity, disruptive AI technologies, such as LLMs, will likely cause their further proliferation. AI with Agency A segment of the tech community is increasingly concerned about scenarios where sophisticated AI', '2 MITRE A SENSIBLE REGULATORY FRAMEWORK FOR AI SECURITY Contents Background ......................................................................................................................................................3 AI Threats and Risks', 'for each— and asking the following questions: \x8f Where does the tool run? Depending on where a tool is running—e.g., at the perimeter or on eac h endpoint—it may do better or worse with specific tactics. \x8f How does the tool detect? Is it using a static set of “known bad” indicators? Or is it doing so mething behavioral? \x8f What data sources does the tool']","The AI security paper emphasizes emergent behaviors because there is a risk that AI systems may allow themselves to exhibit such behaviors, which can be dangerous and unpredictable. Addressing these risks requires further research to establish a common vocabulary and framework for AI alignment, as current research in this area is still nascent [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:10].",Because emergent behaviors can lead to unexpected and potentially dangerous outcomes that are difficult to anticipate without structured evaluations.,,0.6666666666666666,0.9999999999
How does ATT&CK categorize adversary behavior?,"['network to test how defenses might fare against the emulated adversary. Since ATT&CK is a large knowledge base of real-world adversary behaviors, it doesn’t take much imagina tion to draw a connection between adversary or red team behaviors and ATT&CK. Let’s explore how security teams can use ATT&CK for adversary emulation to help improve their', 'start with a single test for a single technique and expand from there. ATOMIC TESTING CYCLE WITH ATT&CK Bonus Level 1.5 Content: Got a process down for using Atomic Red Team to perform adversary emulation testing and ready for something that can help chain together sequences of behavior? Check out CALDERA next! CALDERA is an automated adversary emulation', 'for each— and asking the following questions: \x8f Where does the tool run? Depending on where a tool is running—e.g., at the perimeter or on eac h endpoint—it may do better or worse with specific tactics. \x8f How does the tool detect? Is it using a static set of “known bad” indicators? Or is it doing so mething behavioral? \x8f What data sources does the tool', 'behavior? Check out CALDERA next! CALDERA is an automated adversary emulation system created by MITRE that has many built-in behaviors mapped to ATT&CK techniques. It allows the operator to pick one technique or chain many together when building the test, which allows you to start to automate sequences of behaviors for your testing rather than manually', '© 2019 The MITRE Corporation. All rights reserved. 4 Assessments and Engineering Andy Applebaum Over the previous chapters, we’ve covered getting started with ATT&CK by using it for threat intelligence, for detection and analytics, and for adversary emulation. In this fourth section, we’re going to talk about assessments and engineering, showing how you can', 'of what it means to build analytics to detect ATT&CK techniques, as well as how to think about building out a suite of analytics. It builds on the previous chapter to show not just that you can understand what the adversary can do via cyber threat intelligence, but that you can use that intelligence to build analytics to detect those techniques. Future']",I don't know. The answer is not covered by the provided documents.,ATT&CK categorizes adversary behavior through a matrix of tactics and techniques describing different stages and methods of an attack.,,0.0,0.0
