id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to evaluate their detection coverage by selecting a single technique to focus on, determining their coverage for that technique, and then making the necessary engineering enhancements to start detecting it. This approach allows defenders to practice and improve their detection capabilities incrementally rather than becoming overwhelmed by trying to cover everything at once [Source: getting-started-with-attack:32].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.000,0.000,4156.0,0,"[{""id"": ""getting-started-with-attack-34"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9719348549842834, ""metadata"": {}}, {""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8028491735458374, ""metadata"": {}}, {""id"": ""getting-started-with-attack-164"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.5904483795166016, ""metadata"": {}}, {""id"": ""getting-started-with-attack-20"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.5882720351219177, ""metadata"": {}}, {""id"": ""getting-started-with-attack-165"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.5773879289627075, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.5351786017417908, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"The AI security framework builds on existing cybersecurity models by recognizing that while traditional software vulnerabilities can be addressed through established cybersecurity practices, the introduction of AI subsystems brings new and unique risks. Frameworks like the NIST AI RMF are recommended to systematically address these risks during the design, development, and deployment of AI systems. Additionally, resources like MITRE's ATT&CK knowledge base serve as foundational tools for developing threat models and methodologies, supporting the broader mission of creating safer systems by integrating both traditional and AI-specific security considerations [Source: getting-started-with-attack:43][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:7].","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.000,0.000,3995.5,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.9420675039291382, ""metadata"": {}}, {""id"": ""getting-started-with-attack-228"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.9373452663421631, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-20"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.9086195230484009, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.9058668613433838, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-132"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.8726218342781067, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.8618584871292114, ""metadata"": {}}]"
q011,multi_hop,How might AI evaluations reveal new adversarial techniques relevant to ATT&CK?,"AI evaluations can reveal new adversarial techniques by demonstrating how bad actors augment their adversarial capabilities, which can then be mapped to real-world adversary behaviors in ATT&CK. This helps security teams identify and prioritize emerging techniques that adversaries may use, improving their defensive strategies accordingly [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3][Source: getting-started-with-attack:10].","AI evaluations can expose ways AI might aid or automate adversarial steps, which can then be mapped to ATT&CK techniques to understand how AI-enabled threats fit existing models.",AI-enabled|mapped|techniques|automate|threats,0.000,0.400,0.400,2046.5,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-29"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.7325311899185181, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7172882556915283, ""metadata"": {}}, {""id"": ""getting-started-with-attack-196"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.683802604675293, ""metadata"": {}}, {""id"": ""getting-started-with-attack-195"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.6660232543945312, ""metadata"": {}}, {""id"": ""getting-started-with-attack-160"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.6251799464225769, ""metadata"": {}}]"
q012,needle,Find a passage describing why focusing only on post-deployment incidents is insufficient for AI security.,I don't know. The answer is not covered by the provided documents.,"The paper explains that waiting for incidents is inadequate because failures in high-risk AI systems could be catastrophic, so proactive evaluation is necessary before deployment.",inadequate|waiting for incidents|catastrophic|proactive,0.000,0.000,0.000,1023.4,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-57"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-51"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.6970307230949402, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-65"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.6903517246246338, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.6332085728645325, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-103"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6317839622497559, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6227225065231323, ""metadata"": {}}]"
q013,needle,Locate a passage explaining how ATT&CK helps defenders identify gaps in their detection program.,"ATT&CK helps defenders identify gaps in their detection program by allowing them to assess how their defenses currently stack up to techniques and adversaries in ATT&CK, identify the highest-priority gaps in their current coverage, and then modify or acquire new defenses to address those gaps [Source: getting-started-with-attack:31].","ATT&CK can reveal detection gaps by mapping detections to tactics and techniques, showing where coverage is missing across the adversary lifecycle.",detection gaps|mapping|lifecycle|coverage,0.000,0.250,0.250,1437.9,1,"[{""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.9783145189285278, ""metadata"": {}}, {""id"": ""getting-started-with-attack-161"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-22"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.6495566368103027, ""metadata"": {}}, {""id"": ""getting-started-with-attack-198"", ""source"": ""getting-started-with-attack"", ""page_num"": 39, ""score"": 0.5707469582557678, ""metadata"": {}}, {""id"": ""getting-started-with-attack-112"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.5683580636978149, ""metadata"": {}}, {""id"": ""getting-started-with-attack-50"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.5596867799758911, ""metadata"": {}}]"
q014,structure,List the high-level steps for using ATT&CK in a detection engineering process.,"The high-level steps for using ATT&CK in a detection engineering process are: identify relevant ATT&CK techniques, review detection advice and data sources for those techniques, implement or translate detection logic (such as pseudocode) into your SIEM or analytics platform, test your detections (potentially using scripts mapped to ATT&CK techniques), record your coverage, and iterate by selecting new techniques to address next [Source: getting-started-with-attack:14][Source: getting-started-with-attack:22][Source: getting-started-with-attack:33].","Steps include identifying relevant threats, mapping behaviors to tactics and techniques, assessing current detection coverage, identifying gaps, and implementing new detections.",identify threats|map behaviors|coverage|gaps|implement detections,0.000,0.200,0.200,3373.1,0,"[{""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.9320197105407715, ""metadata"": {}}, {""id"": ""getting-started-with-attack-172"", ""source"": ""getting-started-with-attack"", ""page_num"": 33, ""score"": 0.8509020209312439, ""metadata"": {}}, {""id"": ""getting-started-with-attack-65"", ""source"": ""getting-started-with-attack"", ""page_num"": 14, ""score"": 0.7489851713180542, ""metadata"": {}}, {""id"": ""getting-started-with-attack-21"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-204"", ""source"": ""getting-started-with-attack"", ""page_num"": 40, ""score"": 0.645433783531189, ""metadata"": {}}, {""id"": ""getting-started-with-attack-112"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.6381862163543701, ""metadata"": {}}]"
q015,structure,What components form a sensible regulatory framework for AI security?,"A sensible regulatory framework for AI security includes accounting for the data used to train AI models, establishing common definitions for AI models, applications, and capabilities, strengthening the AI workforce, licensing AI models, and conducting continuous regulatory analysis of individual use cases. Additionally, legal frameworks should scale accountability with risk to deter intentional and harmful AI misuse [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:5][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:8][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:9].","The framework includes defining systems in scope, establishing evaluation requirements, setting standards for testing and red teaming, and creating oversight and reporting mechanisms.",evaluation requirements|standards|oversight|reporting,0.000,0.000,0.000,2358.3,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.9694608449935913, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-60"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9623718857765198, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-47"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.9028358459472656, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-86"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.8072391748428345, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.8032749891281128, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-3"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.7856014966964722, ""metadata"": {}}]"
q016,direct_fact,What is the ATT&CK technique level used for?,"The ATT&CK technique level is used to describe specific adversary behaviors, providing details on how a technique is executed and what data sources can give visibility into that technique. This helps organizations understand, detect, and emulate adversary actions more effectively [Source: getting-started-with-attack:12].",The technique level describes the specific actions adversaries take to achieve a broader tactical objective.,specific actions|achieve tactical objective,0.000,0.000,0.000,2764.1,0,"[{""id"": ""getting-started-with-attack-55"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.8236978650093079, ""metadata"": {}}, {""id"": ""getting-started-with-attack-17"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.7596363425254822, ""metadata"": {}}, {""id"": ""getting-started-with-attack-18"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-115"", ""source"": ""getting-started-with-attack"", ""page_num"": 23, ""score"": 0.6571300625801086, ""metadata"": {}}, {""id"": ""getting-started-with-attack-30"", ""source"": ""getting-started-with-attack"", ""page_num"": 7, ""score"": 0.630932629108429, ""metadata"": {}}, {""id"": ""getting-started-with-attack-151"", ""source"": ""getting-started-with-attack"", ""page_num"": 29, ""score"": 0.6247896552085876, ""metadata"": {}}]"
q017,direct_fact,Why does the AI security paper emphasize emergent behaviors?,"The AI security paper emphasizes emergent behaviors because there is a risk that AI systems may allow themselves to exhibit such behaviors, which can lead to dangerous actions. Addressing these risks requires further AI alignment research to establish a common vocabulary and framework for the research community and to identify research needs [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:10].",Because emergent behaviors can lead to unexpected and potentially dangerous outcomes that are difficult to anticipate without structured evaluations.,emergent|unexpected|dangerous|evaluations,0.000,0.500,0.500,1954.5,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-116"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 10, ""score"": 0.8814892768859863, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-132"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.7171516418457031, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-135"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.662172794342041, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.618248701095581, ""metadata"": {}}, {""id"": ""getting-started-with-attack-188"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.5859102010726929, ""metadata"": {}}]"
q018,direct_fact,How does ATT&CK categorize adversary behavior?,I don't know. The answer is not covered by the provided documents.,ATT&CK categorizes adversary behavior through a matrix of tactics and techniques describing different stages and methods of an attack.,matrix|tactics|techniques|categorizes behavior,0.000,0.000,0.000,610.8,0,"[{""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.8147293329238892, ""metadata"": {}}, {""id"": ""getting-started-with-attack-120"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-188"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.6785656213760376, ""metadata"": {}}, {""id"": ""getting-started-with-attack-121"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.6500657796859741, ""metadata"": {}}, {""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.598638653755188, ""metadata"": {}}, {""id"": ""getting-started-with-attack-99"", ""source"": ""getting-started-with-attack"", ""page_num"": 20, ""score"": 0.5578871369361877, ""metadata"": {}}]"
