id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q001,direct_fact,What is the purpose of the MITRE ATT&CK framework?,"The purpose of the MITRE ATT&CK framework is to serve as a globally accessible knowledge base of adversary tactics and techniques based on real-world observations, supporting the development of threat models and methodologies across the private sector, government, and the cybersecurity community to enhance cybersecurity effectiveness. It is open and available for use at no charge to help create a safer world by fostering collaboration and knowledge sharing.[getting-started-with-attack:43]",MITRE ATT&CK is a knowledge base that categorizes adversary behavior into tactics and techniques based on real-world observations to help defenders understand and analyze attacker behaviors.,knowledge base|tactics|techniques|real-world|adversary behavior,0.000,0.800,0.800,4431.4,1,"[{""id"": ""getting-started-with-attack-162"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 1.0, ""metadata"": {}}, {""id"": ""getting-started-with-attack-3"", ""source"": ""getting-started-with-attack"", ""page_num"": 3, ""score"": 0.9403948187828064, ""metadata"": {}}, {""id"": ""getting-started-with-attack-4"", ""source"": ""getting-started-with-attack"", ""page_num"": 3, ""score"": 0.9115502238273621, ""metadata"": {}}, {""id"": ""getting-started-with-attack-164"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.8339390754699707, ""metadata"": {}}, {""id"": ""getting-started-with-attack-163"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.7845234870910645, ""metadata"": {}}, {""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 42, ""score"": 0.744143545627594, ""metadata"": {}}]"
q002,direct_fact,What is a tactic in the ATT&CK framework?,"In the ATT&CK framework, a tactic represents the technical goal or objective an adversary is trying to achieve during an attack, such as defense evasion or establishing a connection. There are 12 tactics in Enterprise ATT&CK, each corresponding to a different stage or purpose in an adversary's operation.[getting-started-with-attack:7]",A tactic represents the adversary's technical goal or objective—the 'why' behind an action in ATT&CK.,goal|objective|why|adversary,0.000,0.750,0.750,1710.6,1,"[{""id"": ""getting-started-with-attack-126"", ""source"": ""getting-started-with-attack"", ""page_num"": 34, ""score"": 0.8130415678024292, ""metadata"": {}}, {""id"": ""getting-started-with-attack-58"", ""source"": ""getting-started-with-attack"", ""page_num"": 18, ""score"": 0.8119760155677795, ""metadata"": {}}, {""id"": ""getting-started-with-attack-162"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.7580485939979553, ""metadata"": {}}, {""id"": ""getting-started-with-attack-20"", ""source"": ""getting-started-with-attack"", ""page_num"": 7, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-59"", ""source"": ""getting-started-with-attack"", ""page_num"": 18, ""score"": 0.6440908312797546, ""metadata"": {}}, {""id"": ""getting-started-with-attack-100"", ""source"": ""getting-started-with-attack"", ""page_num"": 28, ""score"": 0.6132785081863403, ""metadata"": {}}]"
q003,direct_fact,What is a technique in ATT&CK?,"In ATT&CK, a technique refers to a specific method or action that adversaries use to achieve their objectives, such as gaining access, executing code, or evading defenses. Techniques are documented in the ATT&CK knowledge base and can be analyzed to understand adversary behavior and improve detection and defense strategies.[getting-started-with-attack:33][getting-started-with-attack:32]",A technique describes how an adversary achieves a tactical goal—the specific method used to carry out an action.,specific method|how|achieves|tactical goal,0.000,0.250,0.250,1651.9,1,"[{""id"": ""getting-started-with-attack-96"", ""source"": ""getting-started-with-attack"", ""page_num"": 27, ""score"": 0.9498627185821533, ""metadata"": {}}, {""id"": ""getting-started-with-attack-118"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.8588097095489502, ""metadata"": {}}, {""id"": ""getting-started-with-attack-108"", ""source"": ""getting-started-with-attack"", ""page_num"": 29, ""score"": 0.8132665157318115, ""metadata"": {}}, {""id"": ""getting-started-with-attack-123"", ""source"": ""getting-started-with-attack"", ""page_num"": 33, ""score"": 0.7249431014060974, ""metadata"": {}}, {""id"": ""getting-started-with-attack-130"", ""source"": ""getting-started-with-attack"", ""page_num"": 36, ""score"": 0.6669459342956543, ""metadata"": {}}, {""id"": ""getting-started-with-attack-117"", ""source"": ""getting-started-with-attack"", ""page_num"": 32, ""score"": 0.6658889055252075, ""metadata"": {}}]"
q004,direct_fact,Why do defenders map detections to ATT&CK?,"Defenders map detections to ATT&CK to prioritize which adversary techniques to focus on, ensure their defenses address the most relevant threats, and develop a comprehensive set of analytics to detect a wide range of adversary behaviors. This process helps defenders understand what adversaries are doing, compare commonly used techniques, and inform their detection and mitigation strategies effectively[getting-started-with-attack:8][getting-started-with-attack:10][getting-started-with-attack:20].","Mapping detections to ATT&CK helps defenders describe activity consistently, identify coverage and gaps across tactics and techniques, and prioritize improvements.",coverage|gaps|prioritize|describe consistently,0.000,0.250,0.250,2046.5,1,"[{""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9629635810852051, ""metadata"": {}}, {""id"": ""getting-started-with-attack-14"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.8956531286239624, ""metadata"": {}}, {""id"": ""getting-started-with-attack-28"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8360610008239746, ""metadata"": {}}, {""id"": ""getting-started-with-attack-25"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.7966843843460083, ""metadata"": {}}, {""id"": ""getting-started-with-attack-69"", ""source"": ""getting-started-with-attack"", ""page_num"": 20, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-35"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.6906285285949707, ""metadata"": {}}]"
q005,direct_fact,How does ATT&CK support consistent communication among defenders?,"ATT&CK provides a common vocabulary and carefully selected attributes to describe cyber threat use cases, which helps defenders consistently communicate about adversary behaviors, harmful outcomes, and effective mitigations across organizations and regulatory bodies[A-Sensible-Regulatory-Framework-For-AI-Security_0:8].","ATT&CK provides a standardized vocabulary for describing adversary behavior, supporting consistency across teams and organizations.",standard vocabulary|consistency|describe behavior,0.000,0.000,0.000,2268.0,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-54"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""getting-started-with-attack-134"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.662322998046875, ""metadata"": {}}, {""id"": ""getting-started-with-attack-135"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.6389340758323669, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-65"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.638579249382019, ""metadata"": {}}, {""id"": ""getting-started-with-attack-77"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.5676099061965942, ""metadata"": {}}, {""id"": ""getting-started-with-attack-33"", ""source"": ""getting-started-with-attack"", ""page_num"": 11, ""score"": 0.5468717813491821, ""metadata"": {}}]"
q006,direct_fact,"According to the AI security paper, why are evaluations needed before deploying high-risk AI systems?","Evaluations are needed before deploying high-risk AI systems because AI subsystems can introduce new, unknown, and unique vulnerabilities that are largely unexplored, and systematic evaluation helps identify and protect against both new and existing threats. This ensures that risks are understood and managed before the technology is put into use, especially given the potential for significant harm if misused or if vulnerabilities are exploited.[A-Sensible-Regulatory-Framework-For-AI-Security_0:3]","High-risk AI systems can exhibit dangerous or unpredictable failure modes, so evaluations are needed before deployment to identify and mitigate risks proactively.",before deployment|dangerous|unpredictable|evaluate|mitigate,0.000,0.000,0.000,1942.3,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-10"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 2, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6690897345542908, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-52"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.6630884408950806, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-15"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.6546863913536072, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-68"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.6455990672111511, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.6268760561943054, ""metadata"": {}}]"
q007,direct_fact,What challenge does the paper highlight about predicting the behavior of advanced AI systems?,"The paper highlights that predicting the behavior of advanced AI systems is challenging because AI does not have inherent goals or purposes; instead, its actions are often shaped by human-generated content used as input. This unpredictability is especially concerning in scenarios where AI could develop harmful sub-tasks or operate as an independent, goal-seeking agent, making it difficult to anticipate or control its behavior fully[A-Sensible-Regulatory-Framework-For-AI-Security_0:4].","The paper states that advanced AI systems can display emergent and hard-to-predict behaviors, making traditional software security approaches insufficient.",emergent|hard to predict|traditional software insufficient,0.000,0.000,0.000,1828.4,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-28"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.8352737426757812, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-25"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.7570741176605225, ""metadata"": {}}, {""id"": ""getting-started-with-attack-135"", ""source"": ""getting-started-with-attack"", ""page_num"": 37, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-57"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.6986820101737976, ""metadata"": {}}, {""id"": ""getting-started-with-attack-64"", ""source"": ""getting-started-with-attack"", ""page_num"": 18, ""score"": 0.680400013923645, ""metadata"": {}}, {""id"": ""getting-started-with-attack-19"", ""source"": ""getting-started-with-attack"", ""page_num"": 7, ""score"": 0.6620211005210876, ""metadata"": {}}]"
q008,direct_fact,What regulatory concern does the paper raise regarding over-regulating AI evaluations?,I don't know. The answer is not covered by the provided documents.,Over-regulation may create burdensome compliance processes and encourage checkbox behavior rather than genuine security improvements.,over-regulation|burdensome|checkbox|compliance,0.000,0.000,0.000,1035.9,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-29"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.699999988079071, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-43"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.6922142505645752, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-28"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.6671197414398193, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.651287317276001, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6176723837852478, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-62"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 8, ""score"": 0.6123907566070557, ""metadata"": {}}]"
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to measure their detection coverage by mapping adversary behaviors and techniques to the ATT&CK framework, then assessing which techniques are currently detected by their defenses. This process helps identify gaps and prioritize improvements, enabling defenders to focus on detecting and mitigating the most relevant adversary techniques for their organization[getting-started-with-attack:31][getting-started-with-attack:12].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.250,0.250,1627.6,1,"[{""id"": ""getting-started-with-attack-24"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9860110282897949, ""metadata"": {}}, {""id"": ""getting-started-with-attack-14"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.8077718019485474, ""metadata"": {}}, {""id"": ""getting-started-with-attack-28"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.7917895317077637, ""metadata"": {}}, {""id"": ""getting-started-with-attack-113"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.6704014539718628, ""metadata"": {}}, {""id"": ""getting-started-with-attack-35"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.6622354984283447, ""metadata"": {}}, {""id"": ""getting-started-with-attack-16"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.6094421744346619, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"The AI security framework builds on traditional cybersecurity models by recognizing that AI subsystems introduce new and unique vulnerabilities beyond those addressed by standard test, evaluation, and cybersecurity practices. While existing frameworks like MITRE ATT&CK provide a foundation for understanding and mitigating threats in software systems, the AI security framework emphasizes the need for additional tools and approaches—such as the NIST AI Risk Management Framework (RMF)—to systematically address risks specific to AI, including those that may not be covered by traditional models. This approach encourages regulated industries to integrate AI-specific risk management with established cybersecurity practices, leveraging existing expertise while adapting to the novel challenges posed by AI technologies[ A-Sensible-Regulatory-Framework-For-AI-Security_0:3][A-Sensible-Regulatory-Framework-For-AI-Security_0:7].","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.200,0.200,3174.3,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-15"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.989180326461792, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-46"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9779032468795776, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-52"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.8373386859893799, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-25"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.8286895751953125, ""metadata"": {}}, {""id"": ""getting-started-with-attack-163"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.7739020586013794, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-94"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.7581532001495361, ""metadata"": {}}]"
