id,type,question,answer,expected_answer,expected_keywords,exact_match,semantic_keyword_f1,grounding_score,latency_ms,win,citations
q009,multi_hop,How can defenders use ATT&CK to evaluate their detection coverage?,"Defenders can use ATT&CK to aggregate information on commonly used adversary techniques, which helps them determine what to prioritize for detection. By mapping adversary behaviors to ATT&CK, defenders can identify gaps in their detection coverage and focus on techniques that are most relevant to their organization’s threat landscape [Source: getting-started-with-attack:10].","Defenders can map existing detections to ATT&CK techniques, compare them against adversary behaviors, identify coverage gaps, and prioritize improvements.",map detections|compare|coverage gaps|prioritize,0.000,0.250,0.250,3694.6,0,"[{""id"": ""getting-started-with-attack-34"", ""source"": ""getting-started-with-attack"", ""page_num"": 8, ""score"": 0.9625798463821411, ""metadata"": {}}, {""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.8378503322601318, ""metadata"": {}}, {""id"": ""getting-started-with-attack-20"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.8049343824386597, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7978688478469849, ""metadata"": {}}]"
q010,multi_hop,How does the AI security framework relate to existing cybersecurity models such as ATT&CK?,"The AI security framework builds on existing cybersecurity models by recognizing that while traditional vulnerabilities can be addressed through established methods like those informed by ATT&CK, the introduction of AI subsystems brings new and unique risks that may require additional assurance approaches. The framework suggests regulated industries use tools like the NIST AI RMF to systematically address these risks, complementing traditional cybersecurity practices rather than replacing them [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3] [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:7] [Source: getting-started-with-attack:43].","The AI security framework identifies risks and dangerous model behaviors, while ATT&CK provides structure for mapping those behaviors to known tactics and techniques to integrate AI threats into existing defense programs.",map behaviors|tactics|techniques|AI risks|integrate,0.000,0.000,0.000,2853.8,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.9409654140472412, ""metadata"": {}}, {""id"": ""getting-started-with-attack-228"", ""source"": ""getting-started-with-attack"", ""page_num"": 43, ""score"": 0.9390007257461548, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-20"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.9136532545089722, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.910941481590271, ""metadata"": {}}]"
q011,multi_hop,How might AI evaluations reveal new adversarial techniques relevant to ATT&CK?,"AI evaluations can reveal new adversarial techniques relevant to ATT&CK by demonstrating how bad actors augment their adversarial capabilities using AI, such as large language models, to perform tasks that mimic or enhance real-world adversary behaviors. This can help security teams identify and test for emerging techniques that may not yet be fully mapped in ATT&CK, improving their ability to detect and defend against evolving threats [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:3].","AI evaluations can expose ways AI might aid or automate adversarial steps, which can then be mapped to ATT&CK techniques to understand how AI-enabled threats fit existing models.",AI-enabled|mapped|techniques|automate|threats,0.000,0.600,0.600,1534.7,1,"[{""id"": ""getting-started-with-attack-112"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7983816862106323, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-29"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 3, ""score"": 0.7568303942680359, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7483298778533936, ""metadata"": {}}, {""id"": ""getting-started-with-attack-161"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.743956983089447, ""metadata"": {}}]"
q012,needle,Find a passage describing why focusing only on post-deployment incidents is insufficient for AI security.,I don't know. The answer is not covered by the provided documents.,"The paper explains that waiting for incidents is inadequate because failures in high-risk AI systems could be catastrophic, so proactive evaluation is necessary before deployment.",inadequate|waiting for incidents|catastrophic|proactive,0.000,0.000,0.000,715.9,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-50"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.7317154407501221, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-65"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.7291265726089478, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-11"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 2, ""score"": 0.723559558391571, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-103"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.6843862533569336, ""metadata"": {}}]"
q013,needle,Locate a passage explaining how ATT&CK helps defenders identify gaps in their detection program.,"ATT&CK helps defenders identify gaps in their detection program by allowing them to assess how their defenses currently stack up to techniques and adversaries in ATT&CK, identify the highest-priority gaps in their current coverage, and then modify or acquire new defenses to address those gaps [Source: getting-started-with-attack:31].","ATT&CK can reveal detection gaps by mapping detections to tactics and techniques, showing where coverage is missing across the adversary lifecycle.",detection gaps|mapping|lifecycle|coverage,0.000,0.250,0.250,1124.8,0,"[{""id"": ""getting-started-with-attack-40"", ""source"": ""getting-started-with-attack"", ""page_num"": 10, ""score"": 0.9785059690475464, ""metadata"": {}}, {""id"": ""getting-started-with-attack-161"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.915091872215271, ""metadata"": {}}, {""id"": ""getting-started-with-attack-22"", ""source"": ""getting-started-with-attack"", ""page_num"": 6, ""score"": 0.8883907794952393, ""metadata"": {}}, {""id"": ""getting-started-with-attack-198"", ""source"": ""getting-started-with-attack"", ""page_num"": 39, ""score"": 0.7944467067718506, ""metadata"": {}}]"
q014,structure,List the high-level steps for using ATT&CK in a detection engineering process.,"The high-level steps for using ATT&CK in a detection engineering process are: 1) Create a list of high-priority techniques to focus on in the short term, and 2) Ensure you are pulling in the right data to support detection of those techniques [Source: getting-started-with-attack:38].","Steps include identifying relevant threats, mapping behaviors to tactics and techniques, assessing current detection coverage, identifying gaps, and implementing new detections.",identify threats|map behaviors|coverage|gaps|implement detections,0.000,0.000,0.000,820.9,0,"[{""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.9177197217941284, ""metadata"": {}}, {""id"": ""getting-started-with-attack-172"", ""source"": ""getting-started-with-attack"", ""page_num"": 33, ""score"": 0.8694033026695251, ""metadata"": {}}, {""id"": ""getting-started-with-attack-192"", ""source"": ""getting-started-with-attack"", ""page_num"": 38, ""score"": 0.852264404296875, ""metadata"": {}}, {""id"": ""getting-started-with-attack-104"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.7965635657310486, ""metadata"": {}}]"
q015,structure,What components form a sensible regulatory framework for AI security?,"A sensible regulatory framework for AI security includes accounting for the data used to train AI models, establishing common definitions for AI models, applications, and capabilities, strengthening the AI workforce, licensing AI models, and developing legal frameworks that scale accountability with risk to deter intentional and harmful AI misuse. Regulatory actions should be commensurate with the scale of the risk involved [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:5][Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:9].","The framework includes defining systems in scope, establishing evaluation requirements, setting standards for testing and red teaming, and creating oversight and reporting mechanisms.",evaluation requirements|standards|oversight|reporting,0.000,0.000,0.000,2243.7,0,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-60"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 6, ""score"": 0.9738756418228149, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-0"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 1, ""score"": 0.9592812061309814, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-47"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 5, ""score"": 0.9154165983200073, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-101"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 9, ""score"": 0.8577640056610107, ""metadata"": {}}]"
q016,direct_fact,What is the ATT&CK technique level used for?,"The ATT&CK technique level is used to identify and analyze specific adversary behaviors, allowing you to determine what technique applies to a behavior and to find relevant information, such as data sources for detection and testing methods for that technique [Source: getting-started-with-attack:7][Source: getting-started-with-attack:12][Source: getting-started-with-attack:23].",The technique level describes the specific actions adversaries take to achieve a broader tactical objective.,specific actions|achieve tactical objective,0.000,0.000,0.000,1987.8,0,"[{""id"": ""getting-started-with-attack-55"", ""source"": ""getting-started-with-attack"", ""page_num"": 12, ""score"": 0.8376659154891968, ""metadata"": {}}, {""id"": ""getting-started-with-attack-115"", ""source"": ""getting-started-with-attack"", ""page_num"": 23, ""score"": 0.8136675357818604, ""metadata"": {}}, {""id"": ""getting-started-with-attack-30"", ""source"": ""getting-started-with-attack"", ""page_num"": 7, ""score"": 0.7926552295684814, ""metadata"": {}}, {""id"": ""getting-started-with-attack-17"", ""source"": ""getting-started-with-attack"", ""page_num"": 5, ""score"": 0.7683862447738647, ""metadata"": {}}]"
q017,direct_fact,Why does the AI security paper emphasize emergent behaviors?,"The AI security paper emphasizes emergent behaviors because there is a risk that AI systems may allow themselves to exhibit such behaviors, which can lead to dangerous actions either initiated by humans or autonomously by the AI. This concern highlights the need for further AI alignment research to better understand and manage these risks [Source: A-Sensible-Regulatory-Framework-For-AI-Security_0:10].",Because emergent behaviors can lead to unexpected and potentially dangerous outcomes that are difficult to anticipate without structured evaluations.,emergent|unexpected|dangerous|evaluations,0.000,0.500,0.500,1597.3,1,"[{""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-116"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 10, ""score"": 0.9011541604995728, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-132"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 12, ""score"": 0.7527819871902466, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-34"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 4, ""score"": 0.7174416780471802, ""metadata"": {}}, {""id"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0-72"", ""source"": ""A-Sensible-Regulatory-Framework-For-AI-Security_0"", ""page_num"": 7, ""score"": 0.7035818099975586, ""metadata"": {}}]"
q018,direct_fact,How does ATT&CK categorize adversary behavior?,I don't know. The answer is not covered by the provided documents.,ATT&CK categorizes adversary behavior through a matrix of tactics and techniques describing different stages and methods of an attack.,matrix|tactics|techniques|categorizes behavior,0.000,0.000,0.000,2774.0,0,"[{""id"": ""getting-started-with-attack-120"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.8926090002059937, ""metadata"": {}}, {""id"": ""getting-started-with-attack-121"", ""source"": ""getting-started-with-attack"", ""page_num"": 24, ""score"": 0.8538745641708374, ""metadata"": {}}, {""id"": ""getting-started-with-attack-109"", ""source"": ""getting-started-with-attack"", ""page_num"": 22, ""score"": 0.8294783234596252, ""metadata"": {}}, {""id"": ""getting-started-with-attack-157"", ""source"": ""getting-started-with-attack"", ""page_num"": 31, ""score"": 0.6293374300003052, ""metadata"": {}}]"
